,Month,Longitude,Latitude,hours,minutes,crime,Cluster_Index,danger_index
34,2014-04,-3.042961,53.434108,8,32,HNT,0,173
35,2014-04,-3.054658,53.440199,13,6,Violence and Offence,0,173
36,2014-04,-3.050757,53.434633,10,17,Robery,0,173
37,2014-04,-3.051736,53.435271,13,32,HNT,0,173
38,2014-04,-3.051736,53.435271,14,28,Violence and Offence,0,173
39,2014-04,-3.051736,53.435271,1,36,Robery,0,173
40,2014-04,-3.050952,53.43766,15,20,Murder,0,173
41,2014-04,-3.053245,53.435447,5,57,Robery,0,173
42,2014-04,-3.054658,53.440199,13,47,Chain,0,173
43,2014-04,-3.051736,53.435271,10,9,Rape,0,173
44,2014-04,-3.054658,53.440199,11,20,Rape,0,173
45,2014-04,-3.044881,53.438702,10,55,Kidnap,0,173
46,2014-04,-3.043246,53.437719,3,12,Chain,0,173
47,2014-04,-3.040845,53.440518,12,33,Chain,0,173
48,2014-04,-3.042114,53.437603,7,2,Chain,0,173
49,2014-04,-3.042114,53.437603,16,36,Murder,0,173
50,2014-04,-3.042114,53.437603,6,18,Robery,0,173
51,2014-04,-3.042114,53.437603,12,50,Kidnap,0,173
52,2014-04,-3.042872,53.439044,5,26,Pick,0,173
53,2014-04,-3.039991,53.437586,19,10,Chain,0,173
54,2014-04,-3.044881,53.438702,19,14,Robery,0,173
55,2014-04,-3.042114,53.437603,7,7,Robery,0,173
56,2014-04,-3.042872,53.439044,17,45,Kidnap,0,173
57,2014-04,-3.042114,53.437603,0,2,Robery,0,173
58,2014-04,-3.042114,53.437603,6,48,Rape,0,173
59,2014-04,-3.03915,53.438303,15,33,Chain,0,173
60,2014-04,-3.042872,53.439044,10,45,Violence and Offence,0,173
61,2014-04,-3.042114,53.437603,10,57,Violence and Offence,0,173
62,2014-04,-3.042872,53.439044,8,16,HNT,0,173
63,2014-04,-3.042749,53.437121,7,51,Violence and Offence,0,173
64,2014-04,-3.03861,53.438389,15,16,Kidnap,0,173
65,2014-04,-3.040782,53.437911,12,17,Pick,0,173
66,2014-04,-3.042872,53.439044,5,13,HNT,0,173
67,2014-04,-3.041181,53.43638,6,6,Violence and Offence,0,173
68,2014-04,-3.044881,53.438702,11,11,Rape,0,173
69,2014-04,-3.043246,53.437719,22,17,Pick,0,173
70,2014-04,-3.041181,53.43638,18,0,Kidnap,0,173
71,2014-04,-3.041181,53.43638,6,58,Violence and Offence,0,173
72,2014-04,-3.041181,53.43638,20,14,HNT,0,173
73,2014-04,-3.041181,53.43638,17,31,Pick,0,173
74,2014-04,-3.043246,53.437719,17,48,Murder,0,173
75,2014-04,-3.043246,53.437719,19,27,Chain,0,173
76,2014-04,-3.042114,53.437603,17,23,Murder,0,173
77,2014-04,-3.043246,53.437719,18,30,Chain,0,173
78,2014-04,-3.043246,53.437719,9,1,HNT,0,173
79,2014-04,-3.040563,53.438201,3,29,HNT,0,173
80,2014-04,-3.044881,53.438702,13,4,Chain,0,173
81,2014-04,-3.044881,53.438702,10,57,Murder,0,173
82,2014-04,-3.040569,53.439091,11,30,HNT,0,173
83,2014-04,-3.033864,53.421477,17,29,Pick,0,173
84,2014-04,-3.038211,53.422608,18,2,Pick,0,173
85,2014-04,-3.033906,53.424452,5,45,HNT,0,173
86,2014-04,-3.035666,53.419466,18,27,Pick,0,173
87,2014-04,-3.033735,53.422359,21,57,Chain,0,173
88,2014-04,-3.033906,53.424452,16,13,Robery,0,173
89,2014-04,-3.033906,53.424452,4,14,HNT,0,173
90,2014-04,-3.033735,53.422359,19,53,Rape,0,173
91,2014-04,-3.0323,53.422767,20,39,Rape,0,173
92,2014-04,-3.033864,53.421477,13,37,Rape,0,173
93,2014-04,-3.0323,53.422767,11,16,Kidnap,0,173
94,2014-04,-3.035666,53.419466,18,6,Violence and Offence,0,173
95,2014-04,-3.038211,53.422608,4,32,Chain,0,173
96,2014-04,-3.0323,53.422767,20,39,Rape,0,173
97,2014-04,-3.035598,53.421003,1,50,Rape,0,173
98,2014-04,-3.038211,53.422608,10,30,Rape,0,173
99,2014-04,-3.031231,53.42834,0,55,Chain,0,173
100,2014-04,-3.035436,53.429167,4,12,Kidnap,0,173
101,2014-04,-3.033708,53.428067,14,24,Violence and Offence,0,173
102,2014-04,-3.035436,53.429167,11,58,Rape,0,173
103,2014-04,-3.033708,53.428067,19,5,Violence and Offence,0,173
104,2014-04,-3.035049,53.428738,13,34,Chain,0,173
105,2014-04,-3.031231,53.42834,4,0,Violence and Offence,0,173
106,2014-04,-3.037469,53.427387,16,17,Kidnap,0,173
107,2014-04,-3.031231,53.42834,15,30,Pick,0,173
108,2014-04,-3.037469,53.427387,21,54,Murder,0,173
109,2014-04,-3.031231,53.42834,8,18,Pick,0,173
110,2014-04,-3.038359,53.428692,12,55,Murder,0,173
111,2014-04,-3.031231,53.42834,8,12,Chain,0,173
112,2014-04,-3.035049,53.428738,4,24,Robery,0,173
113,2014-04,-3.03282,53.425585,17,38,HNT,0,173
114,2014-04,-3.03298,53.427192,13,6,HNT,0,173
115,2014-04,-3.04095,53.431267,5,50,Robery,0,173
116,2014-04,-3.04095,53.431267,12,34,Chain,0,173
117,2014-04,-3.042539,53.429168,14,11,Pick,0,173
118,2014-04,-3.040807,53.429722,4,58,Violence and Offence,0,173
119,2014-04,-3.044229,53.429315,21,56,Chain,0,173
120,2014-04,-3.044229,53.429315,15,13,Violence and Offence,0,173
121,2014-04,-3.045163,53.430592,13,49,Murder,0,173
122,2014-04,-3.043094,53.430925,3,42,Violence and Offence,0,173
123,2014-04,-3.044518,53.429429,13,16,Violence and Offence,0,173
124,2014-04,-3.040108,53.430672,14,52,Chain,0,173
125,2014-04,-3.044229,53.429315,15,7,Pick,0,173
126,2014-04,-3.039557,53.430308,19,57,Pick,0,173
127,2014-04,-3.038097,53.429701,14,27,Rape,0,173
128,2014-04,-3.036175,53.430473,17,26,HNT,0,173
129,2014-04,-3.040894,53.432041,13,21,HNT,0,173
130,2014-04,-3.040894,53.432041,12,21,Pick,0,173
131,2014-04,-3.040894,53.432041,21,0,Robery,0,173
132,2014-04,-3.035412,53.431899,4,32,Robery,0,173
133,2014-04,-3.038097,53.429701,21,37,Pick,0,173
134,2014-04,-3.038097,53.429701,0,27,Robery,0,173
135,2014-04,-3.034567,53.431188,12,19,HNT,0,173
136,2014-04,-3.039126,53.42989,15,1,Robery,0,173
137,2014-04,-3.035153,53.429924,15,10,Kidnap,0,173
138,2014-04,-3.040894,53.432041,8,2,Chain,0,173
139,2014-04,-3.039126,53.42989,3,8,HNT,0,173
140,2014-04,-3.040894,53.432041,2,41,Robery,0,173
141,2014-04,-3.035412,53.431899,6,49,Pick,0,173
142,2014-04,-3.040029,53.426808,22,16,Murder,0,173
143,2014-04,-3.040173,53.427166,13,50,HNT,0,173
144,2014-04,-3.038914,53.426772,20,53,Kidnap,0,173
145,2014-04,-3.055259,53.436526,0,53,HNT,0,173
146,2014-04,-3.06164,53.427993,11,39,Rape,0,173
147,2014-04,-3.055259,53.436526,15,0,HNT,0,173
148,2014-04,-3.05785,53.433546,20,34,Chain,0,173
149,2014-04,-3.055259,53.436526,2,2,Rape,0,173
150,2014-04,-3.064347,53.432724,5,52,Chain,0,173
151,2014-04,-3.060121,53.435314,17,43,HNT,0,173
152,2014-04,-3.063488,53.430286,3,30,Violence and Offence,0,173
153,2014-04,-3.05889,53.433024,0,24,Pick,0,173
154,2014-04,-3.053362,53.434062,16,34,Murder,0,173
155,2014-04,-3.071528,53.43399,0,52,Chain,0,173
156,2014-04,-3.064508,53.427733,1,12,Kidnap,0,173
157,2014-04,-3.06516,53.43757,8,0,Chain,0,173
158,2014-04,-3.067189,53.428402,13,2,HNT,0,173
159,2014-04,-3.0671,53.429059,21,25,HNT,0,173
160,2014-04,-3.070652,53.433261,11,44,Murder,0,173
161,2014-04,-3.067189,53.428402,3,34,HNT,0,173
162,2014-04,-3.068214,53.434469,14,10,Chain,0,173
163,2014-04,-3.067189,53.428402,17,30,Pick,0,173
164,2014-04,-3.071528,53.43399,0,48,Murder,0,173
165,2014-04,-3.074912,53.432072,21,57,Robery,0,173
166,2014-04,-3.063154,53.422334,21,1,Chain,0,173
167,2014-04,-3.063739,53.419246,17,28,Pick,0,173
168,2014-04,-3.064957,53.421617,5,13,Chain,0,173
169,2014-04,-3.063726,53.421124,1,51,Chain,0,173
170,2014-04,-3.063154,53.422334,4,22,Rape,0,173
171,2014-04,-3.063461,53.42199,0,1,Pick,0,173
172,2014-04,-3.062034,53.421472,22,46,Robery,0,173
173,2014-04,-3.063154,53.422334,20,20,Rape,0,173
174,2014-04,-3.068483,53.423006,7,5,Violence and Offence,0,173
175,2014-04,-3.06723,53.426469,8,6,HNT,0,173
176,2014-04,-3.068483,53.423006,11,1,Chain,0,173
177,2014-04,-3.068483,53.423006,16,27,Violence and Offence,0,173
178,2014-04,-3.063909,53.42364,6,26,Pick,0,173
179,2014-04,-3.068483,53.423006,0,55,HNT,0,173
180,2014-04,-3.068483,53.423006,13,53,Violence and Offence,0,173
181,2014-04,-3.068483,53.423006,6,34,Robery,0,173
182,2014-04,-3.063909,53.42364,1,30,Murder,0,173
183,2014-04,-3.064661,53.422411,10,32,Murder,0,173
184,2014-04,-3.064661,53.422411,19,31,Pick,0,173
185,2014-04,-3.06744,53.425217,10,20,Chain,0,173
186,2014-04,-3.072119,53.422775,10,54,Robery,0,173
187,2014-04,-3.072119,53.422775,21,50,Pick,0,173
188,2014-04,-3.066841,53.421753,4,33,Murder,0,173
189,2014-04,-3.066633,53.421242,9,34,Pick,0,173
190,2014-04,-3.074215,53.421768,0,12,Pick,0,173
191,2014-04,-3.066841,53.421753,15,27,Robery,0,173
192,2014-04,-3.07218,53.423413,18,35,Robery,0,173
193,2014-04,-3.072421,53.424031,7,7,Kidnap,0,173
194,2014-04,-3.05668,53.417951,18,57,Kidnap,0,173
195,2014-04,-3.061157,53.416464,0,6,Pick,0,173
196,2014-04,-3.060525,53.419481,1,40,Chain,0,173
197,2014-04,-3.044384,53.424001,19,53,Pick,0,173
198,2014-04,-3.051135,53.427996,18,52,Violence and Offence,0,173
199,2014-04,-3.050492,53.428163,3,52,HNT,0,173
200,2014-04,-3.044384,53.424001,19,25,Robery,0,173
201,2014-04,-3.050492,53.428163,18,3,Pick,0,173
202,2014-04,-3.051885,53.430326,9,52,Chain,0,173
203,2014-04,-3.055784,53.429168,4,39,Kidnap,0,173
204,2014-04,-3.049235,53.430907,16,22,Pick,0,173
205,2014-04,-3.055205,53.428877,16,51,Chain,0,173
206,2014-04,-3.062086,53.425957,0,10,Rape,0,173
207,2014-04,-3.058039,53.42602,18,14,Robery,0,173
208,2014-04,-3.063574,53.42651,5,36,Chain,0,173
209,2014-04,-3.063685,53.425511,21,21,Murder,0,173
210,2014-04,-3.063685,53.425511,22,4,Pick,0,173
211,2014-04,-3.050328,53.42456,16,58,Rape,0,173
212,2014-04,-3.054846,53.425931,14,32,Murder,0,173
213,2014-04,-3.051601,53.428585,21,45,Murder,0,173
214,2014-04,-3.053147,53.427807,11,53,Pick,0,173
215,2014-04,-3.052702,53.426247,9,54,Kidnap,0,173
216,2014-04,-3.053147,53.427807,8,25,Violence and Offence,0,173
217,2014-04,-3.051601,53.428585,2,21,HNT,0,173
218,2014-04,-3.053627,53.420468,14,41,Pick,0,173
219,2014-04,-3.053778,53.423505,15,47,Murder,0,173
220,2014-04,-3.055994,53.419422,1,20,Rape,0,173
221,2014-04,-3.032395,53.421723,0,38,Rape,0,173
222,2014-04,-3.027733,53.418069,20,21,Pick,0,173
223,2014-04,-3.025608,53.418582,17,4,Rape,0,173
224,2014-04,-3.030453,53.422288,22,23,Murder,0,173
225,2014-04,-3.031418,53.423628,17,0,Violence and Offence,0,173
226,2014-04,-3.028752,53.421656,20,58,Chain,0,173
227,2014-04,-3.025608,53.418582,14,37,Robery,0,173
228,2014-04,-3.028426,53.421236,0,50,Kidnap,0,173
229,2014-04,-3.031288,53.422614,1,48,Robery,0,173
230,2014-04,-3.030453,53.422288,20,15,Robery,0,173
231,2014-04,-3.02831,53.420167,9,6,Rape,0,173
232,2014-04,-3.029552,53.422988,17,3,Kidnap,0,173
233,2014-04,-3.029466,53.42067,17,7,Violence and Offence,0,173
234,2014-04,-3.028752,53.421656,16,13,Kidnap,0,173
235,2014-04,-3.030562,53.4212,12,19,Kidnap,0,173
236,2014-04,-3.032264,53.424358,5,43,Murder,0,173
237,2014-04,-3.032683,53.423033,6,54,Kidnap,0,173
238,2014-04,-3.028752,53.421656,17,2,Robery,0,173
239,2014-04,-3.028752,53.421656,15,34,Chain,0,173
240,2014-04,-3.029867,53.422329,17,36,Kidnap,0,173
241,2014-04,-3.032264,53.424358,1,25,Pick,0,173
242,2014-04,-3.029867,53.422329,19,51,Murder,0,173
243,2014-04,-3.032395,53.421723,11,2,Chain,0,173
244,2014-04,-3.031288,53.422614,14,4,Violence and Offence,0,173
245,2014-04,-3.030562,53.4212,3,16,Robery,0,173
246,2014-04,-3.032395,53.421723,10,17,Violence and Offence,0,173
247,2014-04,-3.030562,53.4212,0,7,Violence and Offence,0,173
248,2014-04,-3.029466,53.42067,7,30,Robery,0,173
249,2014-04,-3.029867,53.422329,13,55,Robery,0,173
250,2014-04,-3.027733,53.418069,3,15,HNT,0,173
251,2014-04,-3.025608,53.418582,17,47,Robery,0,173
252,2014-04,-3.028752,53.421656,8,34,Rape,0,173
253,2014-04,-3.041393,53.421663,9,29,Murder,0,173
254,2014-04,-3.043121,53.419724,18,5,Robery,0,173
255,2014-04,-3.037019,53.421881,16,28,HNT,0,173
256,2014-04,-3.037019,53.421881,13,39,Murder,0,173
257,2014-04,-3.038679,53.421435,21,11,Murder,0,173
258,2014-04,-3.043121,53.419724,16,39,Robery,0,173
259,2014-04,-3.039211,53.421682,19,1,Robery,0,173
260,2014-04,-3.040306,53.418436,3,35,Chain,0,173
261,2014-04,-3.040576,53.42087,1,55,HNT,0,173
262,2014-04,-3.042948,53.41942,2,52,Robery,0,173
263,2014-04,-3.038679,53.421435,1,32,Violence and Offence,0,173
264,2014-04,-3.03808,53.420343,12,39,Robery,0,173
265,2014-04,-3.03808,53.420343,16,34,Murder,0,173
266,2014-04,-3.033026,53.419183,12,52,HNT,0,173
267,2014-04,-3.035515,53.418181,3,12,HNT,0,173
268,2014-04,-3.034461,53.420042,8,34,Violence and Offence,0,173
269,2014-04,-3.031893,53.418977,18,32,Rape,0,173
270,2014-04,-3.035879,53.418951,19,19,Rape,0,173
271,2014-04,-3.035515,53.418181,1,8,Pick,0,173
272,2014-04,-3.03278,53.420219,13,53,Violence and Offence,0,173
273,2014-04,-3.036946,53.418861,17,39,HNT,0,173
274,2014-04,-3.037387,53.419055,2,44,Robery,0,173
275,2014-04,-3.03013,53.420143,0,39,Kidnap,0,173
276,2014-04,-3.029387,53.419295,22,45,Rape,0,173
277,2014-04,-3.029362,53.420122,14,38,Robery,0,173
278,2014-04,-3.029362,53.420122,18,38,Chain,0,173
279,2014-04,-3.029362,53.420122,5,39,Chain,0,173
280,2014-04,-3.031578,53.417173,6,40,Rape,0,173
281,2014-04,-3.030829,53.419813,10,4,Kidnap,0,173
282,2014-04,-3.031578,53.417173,15,20,Pick,0,173
283,2014-04,-3.029362,53.420122,0,55,Chain,0,173
284,2014-04,-3.030829,53.419813,0,43,Robery,0,173
285,2014-04,-3.029387,53.419295,4,55,Violence and Offence,0,173
286,2014-04,-3.029387,53.419295,10,38,Chain,0,173
287,2014-04,-3.030829,53.419813,7,35,Chain,0,173
288,2014-04,-3.029387,53.419295,21,58,Rape,0,173
289,2014-04,-3.030829,53.419813,3,46,Kidnap,0,173
290,2014-04,-3.03013,53.420143,14,21,Pick,0,173
291,2014-04,-3.029362,53.420122,16,46,Pick,0,173
292,2014-04,-3.030206,53.417697,11,25,Chain,0,173
293,2014-04,-3.030206,53.417697,9,50,Murder,0,173
294,2014-04,-3.030829,53.419813,3,56,HNT,0,173
295,2014-04,-3.030206,53.417697,2,37,Murder,0,173
296,2014-04,-3.031578,53.417173,4,19,Kidnap,0,173
297,2014-04,-3.029362,53.420122,1,55,HNT,0,173
298,2014-04,-3.031362,53.42068,10,29,Kidnap,0,173
299,2014-04,-3.030829,53.419813,15,16,Violence and Offence,0,173
300,2014-04,-3.030829,53.419813,2,33,Rape,0,173
301,2014-04,-3.030206,53.417697,0,8,Kidnap,0,173
302,2014-04,-3.030206,53.417697,16,30,Rape,0,173
303,2014-04,-3.032429,53.418127,10,28,Chain,0,173
304,2014-04,-3.031578,53.417173,3,6,Violence and Offence,0,173
305,2014-04,-3.032411,53.411808,18,4,Kidnap,0,173
306,2014-04,-3.0296,53.416255,10,56,Pick,0,173
307,2014-04,-3.033279,53.412843,4,24,Pick,0,173
308,2014-04,-3.032411,53.411808,15,26,Robery,0,173
309,2014-04,-3.0296,53.416255,8,14,Murder,0,173
310,2014-04,-3.027109,53.417778,6,42,Violence and Offence,0,173
311,2014-04,-3.027109,53.417778,7,11,Murder,0,173
312,2014-04,-3.031537,53.413605,0,34,Pick,0,173
313,2014-04,-3.032491,53.416365,5,45,Rape,0,173
314,2014-04,-3.032411,53.411808,2,38,Murder,0,173
315,2014-04,-3.030398,53.413156,19,48,Chain,0,173
316,2014-04,-3.0296,53.416255,9,35,HNT,0,173
317,2014-04,-3.0296,53.416255,16,29,Rape,0,173
318,2014-04,-3.031537,53.413605,13,39,Violence and Offence,0,173
319,2014-04,-3.0296,53.416255,7,46,Rape,0,173
320,2014-04,-3.032411,53.411808,17,22,Violence and Offence,0,173
321,2014-04,-3.0296,53.416255,4,43,Chain,0,173
322,2014-04,-3.0296,53.416255,12,8,Chain,0,173
323,2014-04,-3.106776,53.414666,0,9,Murder,0,173
324,2014-04,-3.108608,53.415682,13,39,Rape,0,173
325,2014-04,-3.105429,53.412035,8,6,Murder,0,173
326,2014-04,-3.107227,53.411749,22,52,HNT,0,173
327,2014-04,-3.107832,53.414206,13,4,Violence and Offence,0,173
328,2014-04,-3.097813,53.413085,5,34,Robery,0,173
329,2014-04,-3.098191,53.417837,0,43,HNT,0,173
330,2014-04,-3.09743,53.413395,3,57,HNT,0,173
331,2014-04,-3.098985,53.415942,22,13,Murder,0,173
332,2014-04,-3.101681,53.412573,12,1,Rape,0,173
333,2014-04,-3.099902,53.415322,8,47,Kidnap,0,173
334,2014-04,-3.09743,53.413395,4,10,Chain,0,173
335,2014-04,-3.088617,53.415309,17,57,Rape,0,173
336,2014-04,-3.088617,53.415309,21,48,Rape,0,173
337,2014-04,-3.084841,53.414732,19,47,HNT,0,173
338,2014-04,-3.094818,53.417724,22,37,HNT,0,173
339,2014-04,-3.084841,53.414732,20,44,Rape,0,173
340,2014-04,-3.092534,53.417862,4,32,Pick,0,173
341,2014-04,-3.088617,53.415309,21,57,Chain,0,173
342,2014-04,-3.082477,53.416426,6,22,Violence and Offence,0,173
343,2014-04,-3.088617,53.415309,10,45,Murder,0,173
344,2014-04,-3.088824,53.414579,0,15,Chain,0,173
345,2014-04,-3.082477,53.416426,4,38,HNT,0,173
346,2014-04,-3.082396,53.419761,14,45,Pick,0,173
347,2014-04,-3.082396,53.419761,4,17,Pick,0,173
348,2014-04,-3.090482,53.418204,10,21,Robery,0,173
349,2014-04,-3.071781,53.414715,18,36,Kidnap,0,173
350,2014-04,-3.071781,53.414715,19,21,Rape,0,173
351,2014-04,-3.071781,53.414715,11,52,Rape,0,173
352,2014-04,-3.071781,53.414715,12,28,HNT,0,173
353,2014-04,-3.077346,53.424158,5,46,Kidnap,0,173
354,2014-04,-3.077346,53.424158,1,34,Pick,0,173
355,2014-04,-3.071781,53.414715,20,21,Murder,0,173
356,2014-04,-3.071781,53.414715,21,21,Rape,0,173
357,2014-04,-3.07524,53.425983,6,26,Murder,0,173
358,2014-04,-3.07632,53.425857,14,37,Kidnap,0,173
359,2014-04,-3.070266,53.424482,11,7,Rape,0,173
360,2014-04,-3.04951,53.418257,18,37,Kidnap,0,173
361,2014-04,-3.048625,53.418984,5,4,Robery,0,173
362,2014-04,-3.050322,53.418214,17,28,Kidnap,0,173
363,2014-04,-3.050322,53.418214,0,43,Murder,0,173
364,2014-04,-3.048736,53.415531,13,41,Chain,0,173
365,2014-04,-3.053675,53.414463,16,38,Rape,0,173
366,2014-04,-3.050662,53.412485,10,18,Violence and Offence,0,173
367,2014-04,-3.053811,53.415118,14,16,Kidnap,0,173
368,2014-04,-3.056528,53.416083,14,43,Robery,0,173
369,2014-04,-3.056528,53.416083,21,47,Violence and Offence,0,173
370,2014-04,-3.053091,53.412149,0,5,Robery,0,173
371,2014-04,-3.056528,53.416083,5,7,Rape,0,173
372,2014-04,-3.044548,53.419029,4,14,HNT,0,173
373,2014-04,-3.043981,53.41738,15,6,Violence and Offence,0,173
374,2014-04,-3.043346,53.419677,10,43,Violence and Offence,0,173
375,2014-04,-3.043346,53.419677,21,54,Rape,0,173
376,2014-04,-3.043346,53.419677,16,17,Pick,0,173
377,2014-04,-3.047496,53.414661,12,39,Pick,0,173
378,2014-04,-3.044548,53.419029,10,56,Chain,0,173
379,2014-04,-3.044548,53.419029,12,16,Chain,0,173
380,2014-04,-3.044548,53.419029,2,38,Pick,0,173
381,2014-04,-3.044548,53.419029,4,25,Kidnap,0,173
382,2014-04,-3.043346,53.419677,6,46,Pick,0,173
383,2014-04,-3.043346,53.419677,1,27,Pick,0,173
384,2014-04,-3.044548,53.419029,16,19,Pick,0,173
385,2014-04,-3.044548,53.419029,22,35,Pick,0,173
386,2014-04,-3.044548,53.419029,22,39,Violence and Offence,0,173
387,2014-04,-3.044548,53.419029,8,35,Kidnap,0,173
388,2014-04,-3.043124,53.418628,5,26,Murder,0,173
389,2014-04,-3.047496,53.414661,18,49,Violence and Offence,0,173
390,2014-04,-3.043124,53.418628,10,44,Robery,0,173
391,2014-04,-3.043124,53.418628,22,15,HNT,0,173
392,2014-04,-3.045634,53.422785,11,4,Murder,0,173
393,2014-04,-3.04206,53.422493,15,58,Chain,0,173
394,2014-04,-3.04399,53.421398,4,1,HNT,0,173
395,2014-04,-3.04399,53.421398,13,56,Kidnap,0,173
396,2014-04,-3.049992,53.420104,21,6,Rape,0,173
397,2014-04,-3.043904,53.423412,3,50,Robery,0,173
398,2014-04,-3.043673,53.42078,0,38,Chain,0,173
399,2014-04,-3.04399,53.421398,6,25,Violence and Offence,0,173
400,2014-04,-3.04399,53.421398,8,54,Rape,0,173
401,2014-04,-3.04399,53.421398,21,22,Pick,0,173
402,2014-04,-3.04399,53.421398,20,31,Pick,0,173
403,2014-04,-3.038003,53.414708,3,17,Murder,0,173
404,2014-04,-3.038003,53.414708,17,3,Murder,0,173
405,2014-04,-3.038003,53.414708,8,22,Pick,0,173
406,2014-04,-3.038003,53.414708,1,6,Violence and Offence,0,173
407,2014-04,-3.038003,53.414708,13,46,HNT,0,173
408,2014-04,-3.046268,53.413674,6,19,HNT,0,173
409,2014-04,-3.038003,53.414708,17,27,Murder,0,173
410,2014-04,-3.038003,53.414708,9,31,Robery,0,173
411,2014-04,-3.038003,53.414708,4,48,Chain,0,173
412,2014-04,-3.038003,53.414708,7,49,Robery,0,173
413,2014-04,-3.038003,53.414708,7,39,Robery,0,173
414,2014-04,-3.031427,53.411565,16,42,Murder,0,173
415,2014-04,-3.03114,53.410866,7,12,Robery,0,173
416,2014-04,-3.03114,53.410866,5,51,Chain,0,173
417,2014-04,-3.03114,53.410866,1,10,Pick,0,173
418,2014-04,-3.03114,53.410866,7,56,Kidnap,0,173
419,2014-04,-3.031427,53.411565,21,3,Violence and Offence,0,173
420,2014-04,-3.029152,53.411405,13,56,Rape,0,173
421,2014-04,-3.029152,53.411405,7,7,Robery,0,173
422,2014-04,-3.031427,53.411565,20,55,Robery,0,173
423,2014-04,-3.031427,53.411565,17,40,HNT,0,173
424,2014-04,-3.029152,53.411405,15,2,Rape,0,173
425,2014-04,-3.03114,53.410866,13,27,HNT,0,173
426,2014-04,-3.03114,53.410866,7,50,HNT,0,173
427,2014-04,-3.029152,53.411405,16,56,Robery,0,173
428,2014-04,-3.031427,53.411565,3,46,Kidnap,0,173
429,2014-04,-3.031427,53.411565,18,18,HNT,0,173
430,2014-04,-3.030365,53.411206,1,19,Kidnap,0,173
431,2014-04,-3.03114,53.410866,19,20,Rape,0,173
432,2014-04,-3.031427,53.411565,0,13,Violence and Offence,0,173
433,2014-04,-3.029152,53.411405,11,51,Kidnap,0,173
434,2014-04,-3.029845,53.411453,22,28,Violence and Offence,0,173
435,2014-04,-3.029318,53.413947,12,47,Murder,0,173
436,2014-04,-3.027655,53.410492,14,0,HNT,0,173
437,2014-04,-3.027655,53.410492,20,0,Rape,0,173
438,2014-04,-3.030365,53.411206,21,9,Kidnap,0,173
439,2014-04,-3.031055,53.411739,4,12,Murder,0,173
440,2014-04,-3.027655,53.410492,16,2,HNT,0,173
441,2014-04,-3.019755,53.409796,4,10,HNT,0,173
442,2014-04,-3.01965,53.408538,12,19,HNT,0,173
443,2014-04,-3.021513,53.408432,0,34,Murder,0,173
444,2014-04,-3.022412,53.408928,9,44,Pick,0,173
445,2014-04,-3.022625,53.407766,22,18,Kidnap,0,173
446,2014-04,-3.01965,53.408538,16,4,Violence and Offence,0,173
447,2014-04,-3.019755,53.409796,19,23,HNT,0,173
448,2014-04,-3.025517,53.409171,20,43,Robery,0,173
449,2014-04,-3.01965,53.408538,5,1,HNT,0,173
450,2014-04,-3.022412,53.408928,10,29,Rape,0,173
451,2014-04,-3.027821,53.409897,13,52,Violence and Offence,0,173
452,2014-04,-3.021363,53.409719,16,32,Chain,0,173
453,2014-04,-3.019755,53.409796,15,5,Violence and Offence,0,173
